>>> including systematics
>>> method used to compute upper limit is MaxLikelihoodFit
>>> random number generator seed is 123456
[?1034hComputing limit starting from observation
Created Branches
Searching for crossing at nll = -20622.5 in the interval 9.80906, 20
      r      lvl-here  lvl-there   stepping
8.036073    +0.16065  +0.16834    0.099699
8.135772    +0.15282  +0.16065    0.099699
8.235472    +0.14486  +0.15282    0.099699
8.335171    +0.13677  +0.14486    0.099699
8.434870    +0.12854  +0.13677    0.099699
8.534570    +0.12039  +0.12854    0.099699
8.634269    +0.11278  +0.12039    0.099699
8.733969    +0.10503  +0.11278    0.099699
8.833668    +0.09714  +0.10503    0.099699
8.933367    +0.08913  +0.09714    0.099699
9.033067    +0.08099  +0.08913    0.099699
9.132766    +0.07272  +0.08099    0.099699
9.232465    +0.06431  +0.07272    0.099699
9.332165    +0.05578  +0.06431    0.099699
9.431864    +0.04711  +0.05578    0.099699
9.531564    +0.03832  +0.04711    0.099699
9.631263    +0.02940  +0.03832    0.099699
9.730962    +0.02034  +0.02940    0.099699
9.830662    +0.01116  +0.02034    0.099699
9.930361    +0.00185  +0.01116    0.099699
10.030061    -0.00741  +0.00185    0.099699
9.960271    -0.00097  -0.00741    0.029910
9.939334    +0.00101  -0.00097    0.008973
9.948307    +0.00016  +0.00101    0.008973
Searching for crossing at nll = -25083.9 in the interval 0.0601216, -20
      r      lvl-here  lvl-there   stepping
WARNING: underflow to -2.00925e-07 in pdf_bintH_4m_obsOnly for bin 17, weight 1.19214e-06
[#0] ERROR:Eval -- RooAbsReal::logEvalError(tH_4m) evaluation error, 
 origin       : RooAbsReal::tH_4m[ params=(CMS_eff_lep,CMS_jer,CMS_jes,CMS_tHq_TT1b4m_bin1,CMS_tHq_TT1b4m_bin11,CMS_tHq_TT1b4m_bin12,CMS_tHq_TT1b4m_bin13,CMS_tHq_TT1b4m_bin14,CMS_tHq_TT1b4m_bin15,CMS_tHq_TT1b4m_bin16,CMS_tHq_TT1b4m_bin17,CMS_tHq_TT1b4m_bin18,CMS_tHq_TT1b4m_bin2,CMS_tHq_TT1b4m_bin3,CMS_tHq_TT1b4m_bin4,CMS_tHq_TT2b4m_bin1,CMS_tHq_TT2b4m_bin10,CMS_tHq_TT2b4m_bin11,CMS_tHq_TT2b4m_bin12,CMS_tHq_TT2b4m_bin13,CMS_tHq_TT2b4m_bin14,CMS_tHq_TT2b4m_bin15,CMS_tHq_TT2b4m_bin16,CMS_tHq_TT2b4m_bin17,CMS_tHq_TT2b4m_bin18,CMS_tHq_TT2b4m_bin2,CMS_tHq_TT2b4m_bin3,CMS_tHq_TT2b4m_bin4,CMS_tHq_TT2b4m_bin5,CMS_tHq_TTbb4m_bin1,CMS_tHq_TTbb4m_bin15,CMS_tHq_TTbb4m_bin16,CMS_tHq_TTbb4m_bin17,CMS_tHq_TTbb4m_bin18,CMS_tHq_TTbb4m_bin2,CMS_tHq_TTcc4m_bin1,CMS_tHq_TTcc4m_bin12,CMS_tHq_TTcc4m_bin13,CMS_tHq_TTcc4m_bin14,CMS_tHq_TTcc4m_bin15,CMS_tHq_TTcc4m_bin16,CMS_tHq_TTcc4m_bin17,CMS_tHq_TTcc4m_bin18,CMS_tHq_TTcc4m_bin2,CMS_tHq_TTcc4m_bin3,CMS_tHq_TTlf4m_bin1,CMS_tHq_TTlf4m_bin11,CMS_tHq_TTlf4m_bin12,CMS_tHq_TTlf4m_bin13,CMS_tHq_TTlf4m_bin14,CMS_tHq_TTlf4m_bin15,CMS_tHq_TTlf4m_bin16,CMS_tHq_TTlf4m_bin17,CMS_tHq_TTlf4m_bin18,CMS_tHq_TTlf4m_bin2,CMS_tHq_TTlf4m_bin3,CMS_tHq_VV4m_bin1,CMS_tHq_VV4m_bin10,CMS_tHq_VV4m_bin11,CMS_tHq_VV4m_bin12,CMS_tHq_VV4m_bin13,CMS_tHq_VV4m_bin14,CMS_tHq_VV4m_bin15,CMS_tHq_VV4m_bin16,CMS_tHq_VV4m_bin17,CMS_tHq_VV4m_bin18,CMS_tHq_VV4m_bin2,CMS_tHq_VV4m_bin3,CMS_tHq_VV4m_bin4,CMS_tHq_VV4m_bin5,CMS_tHq_VV4m_bin6,CMS_tHq_VV4m_bin7,CMS_tHq_VV4m_bin8,CMS_tHq_VV4m_bin9,CMS_tHq_Wj4m_bin1,CMS_tHq_Wj4m_bin10,CMS_tHq_Wj4m_bin11,CMS_tHq_Wj4m_bin12,CMS_tHq_Wj4m_bin13,CMS_tHq_Wj4m_bin14,CMS_tHq_Wj4m_bin15,CMS_tHq_Wj4m_bin16,CMS_tHq_Wj4m_bin17,CMS_tHq_Wj4m_bin18,CMS_tHq_Wj4m_bin2,CMS_tHq_Wj4m_bin3,CMS_tHq_Wj4m_bin4,CMS_tHq_Wj4m_bin5,CMS_tHq_Wj4m_bin6,CMS_tHq_Wj4m_bin7,CMS_tHq_Wj4m_bin8,CMS_tHq_Wj4m_bin9,CMS_tHq_sTop4m_bin1,CMS_tHq_sTop4m_bin10,CMS_tHq_sTop4m_bin11,CMS_tHq_sTop4m_bin12,CMS_tHq_sTop4m_bin13,CMS_tHq_sTop4m_bin14,CMS_tHq_sTop4m_bin15,CMS_tHq_sTop4m_bin16,CMS_tHq_sTop4m_bin17,CMS_tHq_sTop4m_bin18,CMS_tHq_sTop4m_bin2,CMS_tHq_sTop4m_bin3,CMS_tHq_sTop4m_bin4,CMS_tHq_sTop4m_bin5,CMS_tHq_sTop4m_bin6,CMS_tHq_sTop4m_bin7,CMS_tHq_sTop4m_bin8,CMS_tHq_sTop4m_bin9,CMS_tHq_tHW4m_bin1,CMS_tHq_tHW4m_bin11,CMS_tHq_tHW4m_bin12,CMS_tHq_tHW4m_bin13,CMS_tHq_tHW4m_bin14,CMS_tHq_tHW4m_bin15,CMS_tHq_tHW4m_bin16,CMS_tHq_tHW4m_bin17,CMS_tHq_tHW4m_bin18,CMS_tHq_tHW4m_bin2,CMS_tHq_tHW4m_bin3,CMS_tHq_tHW4m_bin4,CMS_tHq_tHW4m_bin5,CMS_tHq_tHW4m_bin6,CMS_tHq_tHW4m_bin7,CMS_tHq_tHW4m_bin8,CMS_tHq_tHq4m_bin1,CMS_tHq_tHq4m_bin15,CMS_tHq_tHq4m_bin16,CMS_tHq_tHq4m_bin17,CMS_tHq_tHq4m_bin18,CMS_tHq_tHq4m_bin2,CMS_tHq_tHq4m_bin3,CMS_tHq_tHq4m_bin4,CMS_tHq_tHq4m_bin5,CMS_tHq_tHq4m_bin6,CMS_tHq_tHq4m_bin7,CMS_tHq_tHq4m_bin8,CMS_tHq_tHq4m_bin9,CMS_tHq_tt1b,CMS_tHq_tt2b,CMS_tHq_ttH4m_bin1,CMS_tHq_ttH4m_bin15,CMS_tHq_ttH4m_bin16,CMS_tHq_ttH4m_bin17,CMS_tHq_ttH4m_bin18,CMS_tHq_ttH4m_bin2,CMS_tHq_ttW4m_bin1,CMS_tHq_ttW4m_bin10,CMS_tHq_ttW4m_bin11,CMS_tHq_ttW4m_bin12,CMS_tHq_ttW4m_bin13,CMS_tHq_ttW4m_bin14,CMS_tHq_ttW4m_bin15,CMS_tHq_ttW4m_bin16,CMS_tHq_ttW4m_bin17,CMS_tHq_ttW4m_bin18,CMS_tHq_ttW4m_bin2,CMS_tHq_ttW4m_bin3,CMS_tHq_ttW4m_bin4,CMS_tHq_ttW4m_bin5,CMS_tHq_ttW4m_bin6,CMS_tHq_ttW4m_bin7,CMS_tHq_ttW4m_bin8,CMS_tHq_ttW4m_bin9,CMS_tHq_ttbb,CMS_tHq_ttcc,CSVCErr1,CSVCErr2,CSVHF,CSVHFStats1,CSVHFStats2,CSVLF,CSVLFStats1,CSVLFStats2,Q2scale_VV,Q2scale_Wj,Q2scale_tHW,Q2scale_tHq,Q2scale_tt1b,Q2scale_tt2b,Q2scale_ttH,Q2scale_ttW,Q2scale_ttbb,Q2scale_ttcc,Q2scale_ttlf,QCDscale_ST,lumi_13TeV,pdf_gg,pdf_qg,pdf_qqbar,pu,r) ]
 message      : Number of events is negative or error
